Company Name,HeadQuarter,Sector,Amount($),Stage,Year Funded
Boodmo,Gurgaon,Transport,1023391.812865497,Seed Stage ,2018
Khabri,Haryana,Technology,1300000.0,Seed Stage ,2018
MyNewCar.in,Gurgaon,Transport,1000000.0,Series Stage ,2018
HalaPlay Technologies,Bangalore,Technology,5000000.0,Series Stage ,2018
PlanetSpark,Gurgaon,Education,233918.12865497073,Seed Stage ,2018
WheelsEMI,Pune,Marketing,14000000.0,Series Stage ,2018
Forum for Innovation Incubation Research and Entrepreneurship,Margão,Finance,1498538.0116959063,Later Stage ,2018
OYO,Gurgaon,Technology,100000000.0,Series Stage ,2018
Quikr,Bangalore,Marketing,8040935.672514619,Debt Stage ,2018
Tabono,Gurgaon,Entertainment,1300000.0,Seed Stage ,2018
LearnApp,Noida,Finance,292397.6608187134,Seed Stage ,2018
Shopkirana,Indore,E-Commerce,2000000.0,Series Stage ,2018
Fric Bergen,Alwar,Marketing,1300000.0,Series Stage ,2018
Articbot,Kannur,Technology,17543.859649122805,Later Stage ,2018
BuildSupply,Gurgaon,Marketing,3654970.7602339177,Series Stage ,2018
Fusion Microfinance,New Delhi,Finance,76023391.8128655,Series Stage ,2018
Any time Doctor,Chennai,Technology,1300000.0,Others Stage ,2018
Go Payments,Mumbai,Technology,1300000.0,Later Stage ,2018
Guiddoo World,Mumbai,Entertainment,800000.0,Seed Stage ,2018
ION Energy,Mumbai,Marketing,1041000.0,Series Stage ,2018
UnoTag,Bangalore,Technology,100000.0,Pre Seed Stage ,2018
CivilCops,Gurgaon,Marketing,100000.0,Pre Seed Stage ,2018
Rockmetric,Mumbai,Technology,1300000.0,Later Stage ,2018
Classworks India,Chennai,Education,1461.9883040935672,Later Stage ,2018
Snapmint,Mumbai,Finance,1300000.0,Seed Stage ,2018
artbandhu,Bangalore,Technology,15000.0,Pre Seed Stage ,2018
Survaider,Bengaluru,Marketing,500000.0,Seed Stage ,2018
Credy,Bengaluru,Finance,1400000.0,Seed Stage ,2018
iChamp,Gurgaon,Education,5000000.0,Seed Stage ,2018
Qandle,Gurgaon,Technology,1200000.0,Seed Stage ,2018
Avishkaar Box,Delhi,Education,730994.1520467836,Seed Stage ,2018
Gegadyne Energy,Mumbai,Transport,1300000.0,Others Stage ,2018
HyperXchange,Pune,E-Commerce,1000000.0,Series Stage ,2018
Deftouch,Bangalore,Marketing,1300000.0,Seed Stage ,2018
Doodhwala,Bengaluru,Transport,2200000.0,Seed Stage ,2018
DronaHQ,Mumbai,Technology,500000.0,Others Stage ,2018
FastFox,Gurgaon,Marketing,1461988.3040935672,Series Stage ,2018
BuyForexOnline,Bangalore,Marketing,2000000.0,Later Stage ,2018
Colive.in,Bangalore,Marketing,1800000.0,Seed Stage ,2018
Agricxlab Private Limited,Thane,Marketing,500000.0,Seed Stage ,2018
Corefactors,Bangalore,Marketing,1300000.0,Seed Stage ,2018
Fincash.com,Mumbai,Finance,150000.0,Seed Stage ,2018
Pandorum Technologies,Bengaluru,Technology,3600000.0,Series Stage ,2018
Shirsa Labs,Mumbai,Education,500000.0,Seed Stage ,2018
PetSutra,Gurgaon,Healthcare,138888.88888888888,Seed Stage ,2018
Awaaz De,Ahmedabad,Technology,1300000.0,Others Stage ,2018
PinkBlue,Bangalore,Healthcare,300000.0,Seed Stage ,2018
Eduvanz,Mumbai,Finance,500000.0,Others Stage ,2018
Rupeek,Bangalore,Finance,6830000.0,Series Stage ,2018
Backpacker Panda Holidays Private Limited,Pune,Marketing,1400000.0,Series Stage ,2018
Shape (School Health and Physical Education),Pune,Education,200000.0,Seed Stage ,2018
Placio,Noida,Technology,2000000.0,Seed Stage ,2018
Aviom India Housing Finance,New Delhi,Finance,2192982.4561403506,Series Stage ,2018
GenRobotic,Trivandrum,Marketing,1300000.0,Seed Stage ,2018
HeyHolidays,Bangalore,Marketing,1000000.0,Seed Stage ,2018
Pratilipi,Bengaluru,Technology,4300000.0,Series Stage ,2018
SectorQube,Ernakulam,Marketing,1300000.0,Seed Stage ,2018
Food Memories,Ahmedabad,Marketing,1300000.0,Seed Stage ,2018
ZAMROO,Bangalore,Technology,1300000.0,Seed Stage ,2018
Silversparro Technologies Pvt. Ltd,Gurgaon,Marketing,300000.0,Seed Stage ,2018
Creator’s Gurukul,Gurgaon,Technology,1300000.0,Others Stage ,2018
Emflux Motors,Bengaluru,Transport,364846.0,Seed Stage ,2018
Tricog Health Services Pvt Ltd,Bangalore,Healthcare,4000000.0,Series Stage ,2018
Scapic,Bangalore,Technology,500000.0,Seed Stage ,2018
6Degree,Mumbai,Marketing,400000.0,Seed Stage ,2018
Chrysalis (EZ Vidya),Chennai,Education,1300000.0,Seed Stage ,2018
